,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,PctNoHS18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctUnemployed16_Over,PctBlack,PctAsian,PctOtherRace,BirthRate,TARGET_deathRate
1,173.0,70,411.6,48127,43269,18.6,23.11123437,6.1,7.5,26.0,22.7,7.8,0.969102455,2.246232585,3.741351531,4.333095578,161.3
4,57.0,26,350.1,49955,10321,12.5,0.0,14.9,2.0,33.4,15.0,4.8,0.270192029,0.665830358,0.492135482,6.796657382,144.4
22,94.0,41,445.2,35615,16704,21.5,0.0,9.8,8.3,47.1,7.9,9.0,0.836770068,0.37654653,0.029884645,2.292860865,189.7
34,250.0,103,494.9,36996,35516,21.1,0.0,22.4,13.3,44.0,11.2,7.2,2.299108395,0.38692312,0.42617619,4.354354354,195.1
39,182.0,78,475.8,41121,29237,16.7,0.0,13.7,9.2,41.1,11.7,6.8,0.66311184,0.201668034,0.061525841,4.735242361,194.2
40,245.0,101,423.7,66950,56482,10.2,0.0,14.1,6.2,32.1,18.2,8.4,6.96562466,1.622776832,0.56688521,4.995519713,178.2
43,139.0,60,513.2,34295,21415,24.4,46.69624095,16.9,5.2,43.4,5.7,10.1,0.477736549,0.269016698,0.0,2.635983264,226.9
50,170.0,76,456.6,40012,27451,16.1,0.0,9.5,4.8,50.2,8.5,8.8,3.145379211,0.299045217,0.169338858,7.391231312,198.4
53,86.0,39,434.6,36351,13506,19.3,0.0,10.6,0.3,49.4,8.7,7.3,0.695009242,0.0,0.0,6.07651913,190.7
59,50.0,23,384.8,34341,8607,17.6,0.0,10.0,8.0,47.4,10.0,5.7,1.483270093,0.0,0.0,4.256631709,176.8
60,183.0,73,435.3,41420,33940,17.6,0.0,18.0,5.9,46.4,9.0,7.0,3.972315064,0.156762992,0.328314946,4.038301415,169.8
92,187.0,104,354.7,46475,43601,13.9,0.0,10.9,7.5,33.2,15.4,7.0,1.102764903,1.137012261,0.264846229,6.150455775,192.8
98,257.0,108,428.2,46972,52250,15.0,0.0,8.4,4.7,38.7,13.1,4.6,1.303190973,0.736079551,0.273844899,5.174434328,166.9
102,20.0,10,400.6,43883,3091,12.1,0.0,11.9,14.2,42.3,10.0,3.1,1.223044738,0.193112327,0.418410042,7.992565056,187.4
110,72.0,33,389.2,51335,13806,10.6,0.0,13.6,5.3,32.6,19.0,2.0,0.933092224,0.224231465,0.701627486,6.993486459,164.7
129,360.0,133,481.8,57556,47285,10.7,0.0,14.8,3.4,31.4,20.0,5.8,0.359901501,0.599835834,0.027360933,7.381867511,168.8
130,452.0,156,489.4,56008,75909,11.8,13.17366847,6.1,9.0,33.8,19.4,6.1,0.730079812,1.17493131,0.392516028,4.687933426,162.8
210,183.0,77,456.9,60121,34602,11.5,0.0,14.8,2.7,37.0,13.0,8.1,16.67451303,0.517860295,1.894897899,5.015546843,191.0
217,120.0,44,526.7,48076,14785,13.4,0.0,12.9,8.9,33.6,14.4,5.7,13.44057074,0.249024095,1.346076188,5.74048913,194.3
218,94.0,39,454.3,72406,20392,6.2,0.0,13.9,8.0,33.0,16.7,6.1,12.25460123,0.77198364,0.552147239,2.628490965,201.4
222,225.0,82,503.5,59282,35385,10.7,0.0,10.7,4.5,34.7,15.2,7.9,12.74135738,0.994334605,1.008787143,2.100668394,177.3
245,224.0,127,376.4,38292,42899,19.2,23.31056668,14.6,3.7,35.8,8.5,8.0,2.924549806,0.394346934,0.091178482,6.033920417,208.1
246,178.0,84,428.2,60714,39083,11.3,0.0,7.9,8.5,36.6,13.9,7.2,4.007172371,1.042072711,0.522335698,5.544668588,202.5
249,176.0,106,367.3,38528,39718,21.9,0.0,12.2,5.9,32.4,9.0,11.0,5.418208734,0.47125586,0.180113496,3.651138835,223.4
284,112.0,60,371.3,44055,22105,16.3,0.0,23.8,2.0,30.5,12.9,9.6,0.444646098,0.875680581,0.762250454,3.801794105,188.3
289,30.0,14,476.2,45465,3944,15.5,0.0,6.6,1.8,27.5,16.3,10.4,0.350965154,0.551516671,3.359237904,5.205479452,194.4
300,187.0,79,414.6,38989,38033,19.9,0.0,12.4,6.3,37.8,11.8,11.7,6.69413777,0.904473125,0.251386513,5.803003309,170.7
302,286.0,125,345.3,60650,77390,10.0,0.0,9.3,11.7,27.9,19.1,6.5,1.56816852,1.388726351,0.607242702,4.540884719,149.1
339,436.0,160,438.7,51629,83632,11.9,0.0,13.1,8.8,29.6,19.4,8.5,1.381182436,2.330670621,0.611068593,5.762837089,154.4
348,134.0,62,402.9,35968,20937,21.4,0.0,28.6,4.7,40.9,7.5,12.4,0.310998021,0.560738856,0.259165017,6.505717916,177.0
352,145.0,64,457.0,44693,24253,13.2,0.0,20.5,8.9,36.6,13.5,8.2,0.381094404,0.625491902,0.381094404,3.216430924,194.7
378,255.0,97,463.7,50182,38478,12.0,25.98887676,17.8,8.2,34.5,13.4,7.9,3.068462171,0.560238487,1.477693257,3.244249435,164.5
381,388.0,141,520.5,52410,58937,12.0,0.0,13.1,11.8,37.2,12.0,6.7,2.775068115,0.694607959,1.422853106,6.002939584,181.6
409,243.0,93,440.0,37884,34201,18.1,0.0,24.7,9.3,29.8,14.9,7.3,1.105575046,0.71936083,4.263097379,5.212083268,161.4
451,219.0,89,449.1,40801,37585,17.2,0.0,13.9,3.5,34.3,8.4,8.3,3.381528008,0.055305365,3.149772195,6.549178376,179.7
465,20.0,10,532.1,47596,2365,10.7,0.0,7.4,0.0,28.7,18.1,1.9,0.0,0.0,0.5907173,8.208955224,227.6
